소속 ,국회 ,직위 ,국회의원 ,성명 ,곽대훈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"11,672",717,0,"12,389",,,
,,,,,,,
본인 ,전 ,"경상북도 고령군 우곡면 속리 397-1번지 1,002.00m² ","5,150",260,0,"5,410",가액변동 
,,,,,,,
본인 ,대지 ,대구광역시 중구 봉산동 235-15번지 19.80m² 중 6.60m² ,"4,026",330,0,"4,356",가액변동 
,,,,,,,
본인 ,임야 ,경상북도 고령군 우곡면 속리 397-2번지 529.00m² ,"2,496",127,0,"2,623",가액변동 
,,,,,,,
▶ 건물(소계) ,"921,284","692,011",0,"1,613,295",,,
,,,,,,,
본인 ,단독주택 ,대구광역시 중구 봉산동 대지 175.20m² 건물 52.56m² ,"92,100","9,900",0,"102,000",가액변동 
,,,,,,,
본인 ,아파트 ,대구광역시 달서구 도원동 강산타운아파트 건물 117.62m² ,"230,000","2,000",0,"232,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,대구광역시 달서구 용산동 용산롯데캐슬그랜드 건물 123.41m² ,"400,000",0,0,"400,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 마포구 도화동 마포한화오벨리스크 건물 38.88m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대구광역시 달서구 이곡동 건물 132.00m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,근린생활시설 ,대구광역시 달서구 도원동 상가 건물 119.68m² ,"179,184","15,111",0,"194,295",가액변동 
,,,,,,,
배우자 ,근린생활시설 ,대구광역시 달서구 감삼동 삼정브리티시용산 상가 건물 40.33m² (건물 40.33m² 증가) ,- ,"660,000",0,"660,000",신규매입 
,,,,"-660,000",,,
,,,,,,,
장남 ,오피스텔 전세(임차)권 ,대구광역시 남구 봉덕동 강변효성백년가약 건물 38.82m² (건물 38.82m² 증가) ,- ,"5,000",0,"5,000",신규(임차보증금) 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"5,710",0,880,"4,830",,,
,,,,,,,
본인 ,자동차 ,"2006년식 쏘나타 배기량(1,998cc) ","5,710",0,880,"4,830",가액변동 
,,,,,,,
▶ 예금(소계) ,"813,013","283,228","576,143","520,098",,,
,,,,,,,
본인 ,,"중소기업은행 4, 삼성생명보험 32,750, 대구은행 199,811 (71,044 증가), 신용협동조합중앙회 636(4 증가), 대신증권 169(11 증가), 농협은행 21(162 감소), 국민은행 7,304(1,291 감소) ","171,089","72,543","2,937","240,695",임대보증금 영수 및 상가매입자금 사용 등 
,,,,,,,
배우자 ,,"국민은행 7,447(126,450 감소), 신한은행 56(166,813 감소), 삼성생명보험 32,750(2,750 증가), 대구은행 23,333(144,965 감소), 교보생명보험 16,800 ","515,864","29,764","465,242","80,386",
,,,,,,,
모 ,,국민은행 69(59 증가) ,10,59,0,69,
,,,,,,,
장남 ,,"신한은행 9, 하나금융투자 12,360(7,634 증가), 한국카카오은행(주) 1(1 증가), 대구은행 69,567(43,868 증가), 씨티은행 6(30 감소), (주)KEB하나은행 39,938(1,730 감소), 한국교직원공제회 890(375 증가) ","72,653","103,129","53,011","122,771",
,,,,,,,
장녀 ,,"대구은행 72,380(21,968 증가), 국민은행 42(42 증가), 신한은행 2,700(600 증가), 메리츠화재해상보험 1,055(170 증가) ","53,397","77,733","54,953","76,177",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"46,347",0,"26,857","19,490",,,
,,,,,,,
본인 ,,"농협은행 19,490(26,857 감소) ","46,347",0,"26,857","19,490",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"9,073","1,992","9,180","1,885",,,
,,,,,,,
본인 ,상장주식 ,DGB금융지주 34주 ,358,0,76,282,주식매수.매도 등 
,,,,,,,
장남 ,상장주식 ,"SK하이닉스 0주(14주감소),KBSTAR20060주(60주증가), 삼성전자 0주(3주감소) ","8,715","1,992","9,104","1,603",
,,,,,,,
▶ 채권(소계) ,"69,000","5,000","35,000","39,000",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"69,000","5,000","35,000","39,000",일부 환수 
,,,,,,,
▶ 채무(소계) ,"134,939","355,000","101,433","388,506",,,
,,,,,,,
본인 ,금융기관채무 ,"대구은행 0(80,000 감소), 농협은행 23,506(21,433 감소) ","124,939",0,"101,433","23,506",급여및예금등으로일부상환 
,,,,,,,
본인 ,건물임대채무 ,대구광역시 달서구 도원동 강산타운아파트 임대보증금 증가 ,0,"115,000",0,"115,000",신규(임대보증금) 
,,,,,,,
배우자 ,금융기관채무 ,"대구은행 220,000(220,000 증가) ",0,"220,000",0,"220,000",신규(상가매입대출) 
,,,,,,,
배우자 ,건물임대채무 ,대구광역시 달서구 감삼동 삼정브리티시용산 상가 임대보증금 증가 ,0,"20,000",0,"20,000",신규(임대보증금 승계) 
,,,,,,,
배우자 ,건물임대채무 ,대구광역시 달서구 도원동 상가 임대보증금 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
▶ 비영리법인에 출연한 재산 ,,,,,,,
,,,,,,,
본인 ,출연 ,"대구시민햇빛발전소, 출연재산: 1,000천원, 보유직위: 출자자 ",- ,- ,- ,- ,변동없음 
,,,,,,,
총계 ,"1,741,160","627,948","546,627","1,822,481","증감액:81,321천원 (가액변동: 26,772천원) ",,
,,,,,,,
