소속 ,국회 ,직위 ,국회의원 ,성명 ,고용진 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"67,569","5,574","26,328","46,815",,,
,,,,,,,
부 ,임야 ,"전라남도 담양군 창평면 삼천리 산 1번지 0.00m² (29,851.00m² 감소) ","26,328",0,"26,328",0,매도 
,,,,,"-170,000",,
,,,,,,,
부 ,임야 ,"전라남도 담양군 창평면 외동리 산 21번지 41,454.00m² ","19,649","3,606",0,"23,255",가액변동 
,,,,,,,
부 ,임야 ,"전라남도 담양군 대덕면 매산리 산 94번지 7,537.00m² ","19,143","1,809",0,"20,952",가액변동 
,,,,,,,
부 ,임야 ,"전라남도 담양군 대덕면 매산리 산 97-1번지 1,170.00m² ","1,036",77,0,"1,113",가액변동 
,,,,,,,
부 ,임야 ,전라남도 담양군 창평면 오강리 600번지 109.00m² 중 54.50m² ,806,44,0,850,가액변동 
,,,,,,,
부 ,전 ,전라남도 담양군 창평면 의항리 60-1번지 26.00m² 중 13.00m² ,462,30,0,492,가액변동 
,,,,,,,
부 ,도로 ,전라남도 담양군 창평면 의항리 60-6번지 30.00m² 중 15.00m² ,145,8,0,153,가액변동 
,,,,,,,
▶ 건물(소계) ,"771,121","45,540","27,869","788,792",,,
,,,,,,,
본인 ,아파트 ,서울특별시 노원구 공릉동 효성화운트빌 건물 99.92m² ,"376,000","18,000",0,"394,000",가액변동 
,,,,,,,
부 ,상가 ,경기도 부천시 괴안동 동신상가 대지 49.50m² 건물 70.95m² ,"109,829",0,"27,869","81,960",가액변동 
,,,,,,,
부 ,아파트 ,경기도 남양주시 별내동 우미린 건물 101.95m² 중 50.98m² (건물 지분면적61.16m² 감소) ,"166,000","2,517",0,"168,517",가액변동 
,,,,,,,
모 ,숙박시설 ,강원도 홍천군 서면 반곡리 건물 300.34m² ,"62,170",0,0,"62,170",변동없음 
,,,,,,,
모 ,오피스텔 ,경기도 남양주시 별내동 백상앨리츠오피스텔2차 대지 4.37m² 건물 50.52m² ,"57,122","25,023",0,"82,145",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"5,920",0,190,"5,730",,,
,,,,,,,
배우자 ,자동차 ,"2012년식 i30 배기량(1,500cc) ","5,920",0,190,"5,730",가액변동 
,,,,,,,
▶ 예금(소계) ,"517,856","555,529","345,137","728,248",,,
,,,,,,,
본인 ,,"우리은행 2,631(156 증가), 우체국 1,152, KB증권 1(1 증가), 농협은행 8,424(23,615 감소), 신한금융투자(주) 1(1 증가), AIA생명보험 44,386(3,228 증가), (주)KEB하나은행 13,849(246 감소), 한화생명보험 2,629, 국민은행 7,891(46,476 감소), 농협중앙회 39 ","147,954","3,386","70,337","81,003","급여 및 토지매도대금 저축, 생활비사용, 평가금액 변동 등 "
,,,,,,,
배우자 ,,"국민은행 1,229(19,936 감소), SK증권 221, 노원 10(10 증가), 우리은행 1,669(1,553 감소), DB생명보험(주) 11,797(814 증가), 한화생명보험 1,236, 농협은행 7, SBI저축은행 20,000 (20,000 증가), 교보생명보험 32,281(1,349 증가), 한국투자 증권 345(5 증가), (주)오케이저축은 45,224(45,224 증가) ","68,106","67,402","21,489","114,019",
,,,,,,,
부 ,,"별내 6,000(6,000 증가), 농협은행 10,000(10,000 증가), 국민은행 13,263(5,377 감소), 신한은행 328,139(208,542 증가), 농협중앙회 399(399 증가), (주)KEB하나은행 20,049(19,358 증가), 우리은행 8 ","138,936","374,519","135,597","377,858",
,,,,,,,
모 ,,"국민은행 302(1 증가), 씨티은행 5(5 증가), 우체국 1,020, 농협중앙회 82,204(3,200 증가), KB증권 4(4 증가), 묵동신협 10(10 증가), 신한은행 718(430 증가), 유안타증권 33,998 (11,613 감소), 우리은행 9(9 증가), 신영증권 18(18 증가), (주)KEB하나은행 2,399(488 감소), 별내 31,910(2,406 증가) ","158,615","110,204","116,222","152,597",
,,,,,,,
차남 ,,"농협은행 46(1 증가), 신한은행 1,220 ","1,265",1,0,"1,266",
,,,,,,,
장남 ,,"신한은행 1,294(654 감소), 한국카카오은행(주) 17(17 증가), 국민은행 181(838 감소), (주)KEB하나은행 13 ","2,980",17,"1,492","1,505",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"165,298","97,363",0,"262,661",,,
,,,,,,,
본인 ,,"농협은행 262,661(97,363 증가) ","165,298","97,363",0,"262,661",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"10,636","11,852","9,640","12,848",,,
,,,,,,,
배우자 ,상장주식 ,"대우조선해양보 4주, 두산인프라코어 34주 ",350,81,37,394,평가금액 변동 및 일부매도 
,,,,,,,
배우자 ,비상장주식 ,"대우중공업1우선 9주, 대우중공업보통 109주, MOASNS 186주 ",683,0,0,683,
,,,,,,,
모 ,상장주식 ,"엘앤에프 154주(154주 증가), 강소양농화학 0주(240주 감소), 대진철도 0주(2,500주 감소), 중국신화에너지 0주(200주 감소), 대진철도 2,500주(2,500주 증가), 이리실업 600주(600주 증가), 신화에너지 200주(200주 증가), 내몽고이리실업그룹 0주(600주 감소) ","9,603","11,771","9,603","11,771",
,,,,,,,
▶ 채무(소계) ,"354,336",0,"85,743","268,593",,,
,,,,,,,
본인 ,금융기관채무 ,"국민은행 210,093(85,743 감소) ","295,836",0,"85,743","210,093",급여로 일부상환 
,,,,,,,
모 ,금융기관채무 ,"(주)KEB하나은행 53,500 ","53,500",0,0,"53,500",변동없음 
,,,,,,,
모 ,건물임대채무 ,경기도 남양주시 별내동 백상앨리츠오피스텔2차 임대보증금 ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
총계 ,"1,184,064","715,858","323,421","1,576,501","증 감 액 : 392,437천원 (가액변동: 23,099천원) ",,
,,,,,,,
