소속 ,국회 ,직위 ,국회의원 ,성명 ,강효상 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,272,000","177,000",0,"1,449,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 서초동 삼풍아파트 건물 130.73m² 중 65.36m² ,"416,000","40,000",0,"456,000",공시가격변동으로 인한 가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 개포동 주공아파트 1단지 건물 35.64m² 중 17.82m² ,"220,000","48,500",0,"268,500",공시가격변동으로 인한 가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 서초동 삼풍아파트 건물 130.73m² 중 65.36m² ,"416,000","40,000",0,"456,000",공시가격변동으로 인한 가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 개포동 주공아파트 1단지 건물 35.64m² 중 17.82m² ,"220,000","48,500",0,"268,500",공시가격변동으로 인한 가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"30,270",0,"1,140","29,130",,,
,,,,,,,
본인 ,자동차 ,"2016년식 그랜저 2.4 하이브리드 배기량(2,359cc) ","30,270",0,"1,140","29,130",차량기준가액하락으로 인한 가액변동 
,,,,,,,
▶ 예금(소계) ,"1,480,505","512,601","582,650","1,410,456",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 55,221(3,702 증가), KB저축은행 40,897(9,103 감소), 중소기업은행 40,736(4,766 증가), 신한은행 52,795(13,275 증가), 삼성생명보험 92,139(24,054 증가), 흥국생명보험 60,000, 한화투자증권 37(1 증가), (주)KEB하나은행 21,265(97 증가), 한국투자증권 304,636(105,531 감소), 교보생명보험 36,000(12,000 증가) ","760,465","180,468","237,207","703,726",생활비 및 자녀학비 지출 등 
,,,,,,,
배우자 ,,"한국교직원공제회 83,787(9,730 증가), (주)KEB하나은행 376, 대신증권 20(20 증가), BNP파리바카디프생명보험 40,000, KB저축은행 47,500(15,500 증가), 미래에셋대우(주) 63,534(4,819 감소), 한양증권 54(54 증가), 푸르덴셜생명보험 21,373, 국민은행 73(73 증가), 삼성생명보험 24,600(3,600 증가), 신한은행 184,748(49,397 감소), 삼성증권 9,194(36 증가), SK증권 1,458(1,458 증가), 상호저축은행중앙회 81,000(6,000 증가), 신한금융투자(주) 28,420(1,575 감소), 신한생명보험 5,854(1,560 증가), 한 ","663,037","329,223","295,023","697,237",
,,,,,,,
,,"화생명보험주식회사 5,976, SBI저축은행 25,270(15,960 증가), 엔에이치저축은행(주) 38,000(24,000 증가), 교보생명보험 36,000(12,000 증가) ",,,,,
,,,,,,,
장녀 ,,"신한은행 7,460(431 감소) ","7,891","2,900","3,331","7,460",
,,,,,,,
장남 ,,"신한은행 8(37,591 감소), (주)KEB하나은행 1,065(133 감소), 미국chase 960(9,355 감소) ","49,112",10,"47,089","2,033",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"2,000",0,"2,000",0,,,
,,,,,,,
본인 ,,"농협은행 0(2,000 감소) ","2,000",0,"2,000",0,잔액 변동 
,,,,,,,
▶ 유가증권(소계) ,"72,192","185,691","6,787","251,096",,,
,,,,,,,
본인 ,회사채 ,"중앙일보30 149,328주(149,328주 증가) ",0,"149,999",0,"149,999",회사채 이동 신고 및 평가액변동 
,,,,,,,
배우자 ,상장주식 ,"KB금융지주 1,271주, 현대로보틱스보 15주(15주 증가), 미래에셋대우 360주, 현대중공업 70주(25주 감소), 현대건설기계보 10주(10주 증가), 현대일렉트릭보 10주(10주 증가), 한진칼 89주 ","72,192","35,692","6,787","101,097",
,,,,,,,
▶ 채무(소계) ,"55,000",0,0,"55,000",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 개포동 주공아파트 1단지 임대보증금 ,"55,000",0,0,"55,000",변동 없음 
,,,,,,,
▶ 금 및 백금(소계) ,"10,647",0,"10,647",0,,,
,,,,,,,
본인 ,,"순금, 24K, 0g(200g 감소) 감소 ","10,647",0,"10,647",0,매도 
,,,,,,,
▶ 회원권(소계) ,"12,000",0,0,"12,000",,,
,,,,,,,
본인 ,헬스 ,(주)코리아나호텔휘트니스클럽K ,"12,000",- ,- ,"12,000",변동 없음 
,,,,,,,
총계 ,"2,824,614","875,292","603,224","3,096,682","증 감 액 : 272,068천원 (가액변동: 203,007천원) ",,
,,,,,,,
